cb_code;cb_codeext;cb_abandon;cb_perirec;cb_etiquet;cb_nd1;cb_nd2;cb_bp1;cb_ba1;cb_bp2;cb_ba2;cb_r1_code;cb_r2_code;cb_r3_code;cb_fo_type;cb_prop;cb_gest;cb_proptyp;cb_statut;cb_dateins;cb_avct;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_cabphy;cb_lgreel;cb_r4_code;cb_user;cb_etat;cb_datemes;cb_tech;cb_diam;cb_color;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CR000007462491;7462491;0;;PBO-SRO-BPI-11363897-030-2-CT-2536-8244-1;CH000004317429;IM00000000000000000000000ID-30117000007D;BL000008028027;;PTO00007462491;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-27 11-11-11;S;C;RA;CR000000000304;1;;;1;7462491;21.39;;;;;;;;;;;;;;
CR000005424071;5424071;0;;PBO-SRO-BPI-11363897-019-1-CT-2536-7089-1;SU000000869763;IM00000000000000000000000ID-30117000000J;BL000008027988;;PTO00005424071;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-09-21 11-11-11;S;C;RA;CR000000000304;1;;;1;5424071;21.67;;;;;;;;;;;;;;
CR000039940251;39940251;0;;BE-03-117749607-2-WI-2698-2164-1;IM00000000000000000000000ID-30117000001L;IM00000000000000000000000ID-30117000001L;BL000008255515;;PTO00039940251;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2023-04-29 11-11-11;S;C;RA;CR000000000304;1;;;1;39940251;35;;;;;;;;;;;;;;
CR000019461161;19461161;0;;PBO-SRO-BPI-11363897-050-5-CT-2536-9718-1;CH000004323202;IM00000000000000000000000ID-30117000002O;BL000008027997;;PTO00019461161;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-04-22 11-11-11;S;C;RA;CR000000000304;1;;;1;19461161;42.91;;;;;;;;;;;;;;
CR000040180311;40180311;0;;PBO-SRO-BPI-11363897-059-2-CT-2537-0147-1;CH000004310408;IM00000000000000000000000ID-30117000000E;BL000008028045;;PTO00040180311;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-08-07 11-11-11;S;C;RA;CR000000000304;1;;;1;40180311;7.68;;;;;;;;;;;;;;
CR000019484671;19484671;0;;BE-02-117738031-2-WI-2656-5847-1;IM00000000000000000000000ID-301170000006;IM00000000000000000000000ID-301170000006;BL000008202713;;PTO00019484671;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-24 11-11-11;E;C;RA;CR000000000304;1;;;1;19484671;35;;;;;;;;;;;;;;
CR000023004431;23004431;0;;PBO-SRO-BPI-11363897-070-2-CT-2537-0708-1;CH000004323232;IM00000000000000000000000ID-30117000003N;BL000008027671;;PTO00023004431;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-11-16 11-11-11;S;C;RA;CR000000000304;1;;;1;23004431;22.71;;;;;;;;;;;;;;
CR000007405291;7405291;0;;PBO-SRO-BPI-11363897-063-1-CT-2537-0400-1;SU000000880790;IM00000000000000000000000ID-3011700000QQ;BL000008028081;;PTO00007405291;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-12-01 11-11-11;S;C;RA;CR000000000304;1;;;1;7405291;19.82;;;;;;;;;;;;;;
CR000010861291;10861291;0;;PBO-SRO-BPI-11363897-003-3-CT-2536-6990-1;SU000000880805;IM00000000000000000000000ID-3011700000QM;BL000008027985;;PTO00010861291;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2023-04-07 11-11-11;S;C;RA;CR000000000304;1;;;1;10861291;279.94;;;;;;;;;;;;;;
CR000039919211;39919211;0;;BE-01-117749607-6-WI-2698-1999-1;IM00000000000000000000000ID-30117000001L;IM00000000000000000000000ID-30117000001L;BL000008255513;;PTO00039919211;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-09-11 11-11-11;E;C;RA;CR000000000304;1;;;1;39919211;35;;;;;;;;;;;;;;
CR000036685001;36685001;0;;PBO-SRO-BPI-11363897-024-4-CT-2536-7914-1;CH000004310416;IM00000000000000000000000ID-30117000007N;BL000008027993;;PTO00036685001;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-03-03 11-11-11;S;C;RA;CR000000000304;1;;;1;36685001;57.85;;;;;;;;;;;;;;
CR000006490831;6490831;0;;PBO-SRO-BPI-11363897-044-3-CT-2536-9245-1;CH000004323204;IM00000000000000000000000ID-30117000006I;BL000008028068;;PTO00006490831;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-05-30 11-11-11;S;C;RA;CR000000000304;1;;;1;6490831;40.29;;;;;;;;;;;;;;
CR000019461191;19461191;0;;PBO-SRO-BPI-11363897-050-4-CT-2536-9729-1;CH000004323202;IM00000000000000000000000ID-30117000006J;BL000008027997;;PTO00019461191;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-04-23 11-11-11;S;C;RA;CR000000000304;1;;;1;19461191;27.28;;;;;;;;;;;;;;
CR000004428451;4428451;0;;PBO-SRO-BPI-11363897-003-1-CT-2537-0664-1;SU000000880805;IM00000000000000000000000ID-301170000156;BL000008027985;;PTO00004428451;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2023-01-21 11-11-11;S;C;RA;CR000000000304;1;;;1;4428451;237.2;;;;;;;;;;;;;;
CR000033673071;33673071;0;;PBO-SRO-BPI-11363897-038-5-CT-2536-8992-1;CH000004323264;IM00000000000000000000000ID-30117000003O;BL000008028041;;PTO00033673071;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-06-16 11-11-11;S;C;RA;CR000000000304;1;;;1;33673071;16.59;;;;;;;;;;;;;;
CR000033358301;33358301;0;;PBO-SRO-BPI-11363897-057-4-CT-2537-0026-1;CH000004316155;IM00000000000000000000000ID-301170000046;BL000008028043;;PTO00033358301;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-03-04 11-11-11;S;C;RA;CR000000000304;1;;;1;33358301;26.22;;;;;;;;;;;;;;
